Title,Link
Maternal insult,/wiki/Maternal_insult
Metal umlaut,/wiki/Metal_umlaut
Phaistos Disc,/wiki/Phaistos_Disc
Placeholder name,/wiki/Placeholder_name
Pompatus,/wiki/Pompatus
RAS syndrome,/wiki/RAS_syndrome
Russenorsk,/wiki/Russenorsk
Robert Shields (diarist),/wiki/Robert_Shields_(diarist)
Shibboleth,/wiki/Shibboleth
Shit happens,/wiki/Shit_happens
Thinking about the immortality of the crab,/wiki/Thinking_about_the_immortality_of_the_crab
Toynbee tiles,/wiki/Toynbee_tiles
There are known knowns,/wiki/There_are_known_knowns
Voynich manuscript,/wiki/Voynich_manuscript
Adolf Lu Hitler Marak,/wiki/Adolf_Lu_Hitler_Marak
Amandagamani Abhaya of Anuradhapura,/wiki/Amandagamani_Abhaya_of_Anuradhapura
Praise-God Barebone,/wiki/Praise-God_Barebone
Cesar Chavez (perennial candidate),/wiki/Cesar_Chavez_(perennial_candidate)
Mansfield Smith-Cumming,/wiki/Mansfield_Smith-Cumming
Cox–Zucker machine,/wiki/Cox%E2%80%93Zucker_machine
Deportivo Wanka,/wiki/Deportivo_Wanka
Donaudampfschiffahrtsgesellschaft,/wiki/Donaudampfschiffahrtsgesellschaft
John le Fucker,/wiki/John_le_Fucker
Argélico Fucks,/wiki/Arg%C3%A9lico_Fucks
Gregor Fučka,/wiki/Gregor_Fu%C4%8Dka
Ima Hogg,/wiki/Ima_Hogg
Tiny Kox,/wiki/Tiny_Kox
Téa,/wiki/T%C3%A9a
Jennifer 8. Lee,/wiki/Jennifer_8._Lee
Leone Sextus Tollemache,/wiki/Leone_Sextus_Tollemache
List of examples of Stigler's law,/wiki/List_of_examples_of_Stigler%27s_law
List of people with reduplicated names,/wiki/List_of_people_with_reduplicated_names
Mister Mxyzptlk,/wiki/Mister_Mxyzptlk
Seán Dublin Bay Rockall Loftus,/wiki/Se%C3%A1n_Dublin_Bay_Rockall_Loftus
Pro-Life (politician),/wiki/Pro-Life_(politician)
Preserved Fish,/wiki/Preserved_Fish
Metta World Peace,/wiki/Metta_World_Peace
